,create_date,location_name,msg,msg
19,2020/03/08 18:41:46,경상북도 영주시,영주시청," 3.9.(월) 공적 마스크 읍면우체국 9시30분 번호표 배부 11시 판매, 농협마트 11시 판매, 약국(평일) 17시 판매 예정입니다."
20,2020/03/08 18:41:29,전라남도 화순군,화순군청,"3월9일부터 약국은 공적마스크5부제 판매(1주일 1인2매), 농·축협,우체국은(1일 1인1매)판매합니다. 지금까지 화순군은 코로나19 확진자 없습니다."
21,2020/03/08 18:36:42,경상북도 예천군,예천군청,"약국에서 주중 구입 못하신 분은 주말에 구매하시기 바랍니다. 우체국, 농협은 11시에 1인 1매 판매합니다."
22,2020/03/08 18:36:16,충청남도 천안시,천안시청," 코로나19 추가확진자 1명 발생(총92명), 50대(남1), 개인위생관리 철저, 이동경로는 역학조사 중. 시 홈페이지, SNS 게시 예정."
23,2020/03/08 18:35:50,경상북도 예천군,예천군청,"내일(3/9)부터 약국 마스크판매 5부제 시행. 1인2매. 신분증지참. 출생년도 끝자리 1,6(월) 2,7(화) 3,8(수) 4,9(목) 5,0(금)"
24,2020/03/08 18:07:23,경상북도 안동시,안동시청,46번 확진자 이동동선 중 고향식당 및 다음노래방(가요방) 3/6 방역실시하였음을 알려드립니다.
25,2020/03/08 18:00:24,전라남도 여수시,여수시청,"관내 추가확진자는 없으며, 집회·행사 및 확진자 다수발생지역 방문 자제, 사회적 거리두기 적극 동참. 발열·기침시 061-659-4252로 연락바랍니다"
26,2020/03/08 18:00:06,경상북도 울진군,울진군청,"18시 현재 코로나19 확진자 없음. 마스크착용,30초 손씻기등 예방수칙 준수, 호흡기 증상시 1339 또는 보건소 054-789-5034문의바랍니다."
27,2020/03/08 17:50:53,경상북도 안동시,안동시청,3/4~3/6 모친집(안막동) 3/6 자택(동문동) 3/7 검체채취 후 자가격리.
28,2020/03/08 17:50:28,경상북도 안동시,안동시청,"46번(51세,남,동문동,마스크착용) 3/3 고향식당(당북동) 17:10-23:00 23:00- 3/4 02:58 다음노래방(가요방,동부동)"
29,2020/03/08 17:49:20,전라남도 전체,전남도청,평일에 마스크를 못사신 분은 토·일요일에 구매 가능합니다. 신분증 지참! 약국이 없는 지역은 우체국(평일)과 농협 하나로마트에서 1인1매 살수 있습니다
30,2020/03/08 17:46:32,경상북도 봉화군,봉화군청," 외출자제, 사회적 거리두기, 손씻기, 마스크착용 실천, 발열 및 호흡기증상시 보건소(054-679-5071~5081)로 문의 바랍니다."
31,2020/03/08 17:46:00,경상북도 봉화군,봉화군청,"마스크5부제 유의사항: 대리구매 불가(단, 장애인등록증지참, 만10세이하, 만80세이상 대리구매가능), 농협 우체국은(09:30~)5부제 상관없이 구매"
32,2020/03/08 17:45:44,경상북도 봉화군,봉화군청,"마스크5부제 판매안내(출생년도 끝자리 숫자 해당 요일 판매) : 월(1.6) 화(2,7) 수(3,8) 목(4,9) 금(5,0) 예시)54년생 ->목요일"
33,2020/03/08 17:45:21,전라남도 전체,전남도청,"3. 9.부터 마스크 5부제 시행(1인2매) 약국서 출생연도 끝자리 1·6번은 월, 2·7화, 3·8수, 4·9목, 5·0번은 금요일에 살 수 있습니다"
34,2020/03/08 17:45:17,경상북도 봉화군,봉화군청,"공적마스크 약국판매 안내 : 3.9.(월)부터 요일별 5부제 판매(주2매 수량제한, 신분증 지참)"
35,2020/03/08 17:42:00,경상북도 영덕군,영덕군청," <우체국,농협> 1인1매. 9:30부터 판매"
36,2020/03/08 17:41:32,경상북도 영덕군,영덕군청,"마스크판매 <약국> 주5일제. 1인2매. 출생연도 끝자리기준(1,6:월 2,7:화 3,8:수 4,9:목 5,0:금)※반드시 신분증 지참"
37,2020/03/08 17:31:58,경기도 용인시,용인시청,"16번째 확진자 발생(여/61세, 중동 성산마을 거주), 역학조사 후 동선은 SNS 및 홈페이지를 통해 공개하겠습니다."
38,2020/03/08 17:24:42,서울특별시 강남구,강남구청, 8일 코로나19 확진자 1명 추가(누적 13명). 상세내용 홈피(gangnam.go.kr) 참조. 개별 문자는 홈피에서 신청하세요.[강남구청]
39,2020/03/08 17:17:29,경상북도 군위군,군위군청,"3.9(월)부터 약국판매 마스크 5부제 시행. 1주 1인2매, 출생년도 끝자리 판매요일 월(1,6)화(2,7)수(3,8)목(4,9)금(5,0)입니다."
40,2020/03/08 17:14:57,경기도 안산시,안산시,확진자동선 및 방문장소 방역완료. 위 동선상의 점포는 이미 방역완료 하여 이용가능031-481-2162
41,2020/03/08 17:14:45,경기도 안산시,안산시,3.5안산천 3.6뚜레쥬르(안산한대역) 3.7상록수보건소선별진료소 3.8양성판정
42,2020/03/08 17:14:31,경기도 안산시,안산시,3번확진자주요동선 2.22~3.1 신천지예배참석관련 자가격리 2.26이마트24(석호로점) 3.3뚜레쥬르(안산한대역)
43,2020/03/08 17:13:59,전라남도 함평군,함평군청, 마스크5부제 3월9일 월요일은 출생연도 끝자리가 1과 6인 분들이 약국에서 마스크를 구매할 수 있습니다.(신분증지참필요)
44,2020/03/08 17:12:45,경기도 광주시,광주시청," 광주시 1번확진자(남/65세) 송정동 현대아파트 거주자. 방문지역 소독 완료, 역학조사 결과는 홈페이지 및 SNS에 공개하였으니 확인하시기 바랍니다."
45,2020/03/08 17:00:08,강원도 속초시,속초시청," 3.8.(일) 17시 현재 속초시 코로나 추가확진자 없습니다. 다중운집장소 방문자제, 철저한 방역소독, 마스크착용, 손씻기 적극 동참 요청드립니다."
46,2020/03/08 16:37:31,경상북도 안동시,안동시청,"예천6번확진자 안동이동동선 중 3/4 성소병원 접촉직원 전원 음성으로 확인되었으며, 3/7 방역완료하였음을 알려드립니다."
47,2020/03/08 16:27:07,강원도 태백시,태백시청,"봉화해성병원에서 사망 후 운구된 망자 검체결과 양성, 주소지로 통계처리되어 태백확진자로 처리. 밀접접촉자 5명 음성. 자가격리중 특이사항 없음"
48,2020/03/08 15:49:02,경상북도 김천시,김천시청, 이동경로에 따라 해당시간에 방문하신 분들은 김천시보건소(054-433-4000)로 연락바랍니다.
49,2020/03/08 15:48:46,경상북도 김천시,김천시청," ④3.8확진검사 결과 양성판정(김천제일병원 중환자실 음압격리병상에서 격리)/이동경로 방역소독 완료, 변동사항 추후 공지"
50,2020/03/08 15:48:25,경상북도 김천시,김천시청, 14:50 CT상 폐렴소견 보여 검채채취후 중환자실(음압실/1인실)로 전실(이동간 마스크착용)
51,2020/03/08 15:48:01,경상북도 김천시,김천시청," 11:07~11:33 1층 CT실, 11:36~14:50 3병동(321호/1인실) 입원"
52,2020/03/08 15:47:05,경상북도 김천시,김천시청, ③3.7 10:28~10:33 김천제일병원 순환기내과 3번진료실/10:34~10:41 1층 채혈실/10:55~10:59 순환기내과 3번진료실
53,2020/03/08 15:46:41,경상북도 김천시,김천시청," 15:30 대구 자택귀가(자차,마스크착용)/②3.5~3.6 대구 자택기거(우리시 이동동선 없음), 코로나 확진검사 결과 음성 판정(3.5)"
54,2020/03/08 15:46:21,경상북도 김천시,김천시청, 21번째 확진자 이동경로 ①2.29~3.3 대구 자택기거(우리시 이동경로없음)/3.4 14:30 김천의료원 선별진료소방문(검체채취)
55,2020/03/08 15:20:38,충청남도 아산시,아산시청," 경기도 이관 확진자(여,38) 이동경로를 시 홈페이지 및 SNS에서 확인하실 수 있습니다."
56,2020/03/08 15:01:45,강원도 평창군,평창군청,강릉6번 확진자 동선/3.4진부터미널→대관령모던빌펜션→3.5대관령하나로마트→창대식당→3.6모던빌펜션→디스커버리 렌탈샵→용평스키장/세부사항 홈페이지 참조
57,2020/03/08 14:53:06,경상북도 안동시,안동시청,"45번(61세,남,평화현대아파트,40번가족) 3/5 9:30 40번확진자 보건소검체채취동행 3/6 자택 3/7 10:00 보건소 검체채취 후 자가격리"
58,2020/03/08 14:51:05,경상북도 포항시,포항시청,"소독후바이러스는사멸하므로4시간경과후안심하고이용하셔도됨을알려드립니다[문의:보건소(남구270-4004,북구270-4114)]"
59,2020/03/08 14:50:45,경상북도 포항시,포항시청,중앙방역대책본부대응지침변경(3월2일)에따라확진자가방문한장소는전문적인소독·방역이실시되고임시폐쇄가이루어집니다.
60,2020/03/08 14:49:54,전라남도 장흥군,장흥군청," 코로나19 확산방지를 위해 종교행사와 각종 모임 등 외출 자제부탁드립니다. 기침, 발열시 보건소(061-860-6481)로 즉시 연락바랍니다."
61,2020/03/08 14:47:54,세종특별자치시,세종시청,"5번확진자 동선 2.29(토)~3.3(화)공개대상 동선없음, 3.7(토)15:00~30 세종시보건소 선별진료소,세부동선 bit.ly/32ZViZa 참고"
62,2020/03/08 14:46:47,세종특별자치시,세종시청,4번확진자동선⑤ 3.7(토)13:00~13:30 세종시 보건소 선별진료소
63,2020/03/08 14:45:07,경기도 성남시,성남시청," 코로나19. 성남5,10,13,14,15 확진자의 상세 이동경로를 시홈페이지 및 카카오톡 채널 c11.kr/ds68 공개하였으니 참고하시기 바랍니다."
64,2020/03/08 14:45:04,세종특별자치시,세종시청,"4번확진자동선④ 3.2(월)15:30~19:50, 3.3(화)17:45~18:15, 3.4(수)18:30~20:00 이상 세종스즈키바이올린(도담동)"
65,2020/03/08 14:44:43,부산광역시 강서구,강서구청,"부산88확진자 2.29.상세정보, 자택,택시,전철, 9:00~18:00직장, 18:05~18:50루이팡(동구 중앙대로192), 전철,버스,19:55자택"
66,2020/03/08 14:44:12,경상북도 포항시,포항시청,"45번확진자(남/9세.우창동.14번,40번확진자가족)2.25.~3.7.자가격리[3.6.16시.북구보건소선별진료소검사(외조부차)]/3.8.11시.확진"
67,2020/03/08 14:44:06,세종특별자치시,세종시청,"4번확진자동선③2.28(금)15:30~16:00세종서부농협 새롬지점,16:06~16:22제일연합내과의원(새롬동),16:23~16:25새롬정약국(새롬동)"
68,2020/03/08 14:43:50,경상북도 포항시,포항시청,"44번확진자(남/11세.우창동.14번,40번확진자가족)2.25.~3.7.자가격리[3.6.16시.북구보건소선별진료소검사(외조부차)]/3.8.11시.확진"
69,2020/03/08 14:43:26,세종특별자치시,세종시청,"4번확진자 동선②2.23(일)10:00~10:25 세종드림연합의원(대평동), 10:30~10:58 메디팜365약국(대평동)"
70,2020/03/08 14:43:01,세종특별자치시,세종시청,"4번확진자 동선①2.21(금)16:00~19:00 세종 스즈키바이올린(도담동), 2.22(토) 증상발현일"
71,2020/03/08 14:42:23,광주광역시 전체,광주광역시,광주14번 확진자동선② 3.4(수) 16:08주월1동주민센터 3.5(목) 20:45 88켄터키치킨(풍금로15-1) ※동선은 추가조사중으로 확인시 안내
72,2020/03/08 14:40:42,광주광역시 전체,광주광역시,"금일 추가확진자 1명 발생, 광주14번 확진자동선① 3.3(화)00:15블랑PC방(서문대로700) 16:00주월1동주민센터 17:15블랑PC방 재방문"
73,2020/03/08 14:40:30,서울특별시 동대문구,동대문구청,"6,7번확진자발생,동대문거주 성북구주민(3.7. 확진자)의 장인,장모(이문1동), 금일입원조치 및 활동동선사업장 일시폐쇄 후 소독예정, 홈페이지 참조"
74,2020/03/08 14:24:58,전라남도 영광군,영광군청,"코로나19 확산 방지를 위해 예배,미사,법회,각종모임등을 자제하시고 기침,발열시 보건소(350-5552)로 상담바랍니다.영광군은 현재 확진자 없습니다."
75,2020/03/08 14:10:45,부산광역시 강서구,강서구청,"부산-88확진자 관내 주요동선(꿈꾸는요리사, 오복미역 등)에 방역완료 하였습니다."
76,2020/03/08 14:08:32,경상북도 상주시,상주시청," 3. 8. 14시 추가확진자 없음(상주시 확진자 누계 15명). 손씻기, 기침예절 준수, 눈코입 만지지 않기, 외출 자제 등 사회적 거리두기 실천"
77,2020/03/08 14:01:09,부산광역시 강서구,강서구청,"부산-88확진자주요동선, 3.6.(외출안함), 3.7. 자택, 구급차, 15:00부산대병원이송, 더 자세한 사항은 부산시홈페이지를 참고하시기바랍니다."
78,2020/03/08 14:00:53,부산광역시 강서구,강서구청,"부산-88확진자주요동선, 3.4.(외출안함), 3.5. 자택,택시,전철, 08:49~15:15직장, 택시, 15:30봉생병원,전철,버스,17:45자택"
79,2020/03/08 14:00:32,부산광역시 강서구,강서구청," 부산-88확진자 주요동선, 3.2. 자택(외출안함) 3.3. 18:40 오복미역오션시티점, 19:30 꿈꾸는요리사오션시티점, 19:50 자택"
80,2020/03/08 14:00:14,부산광역시 강서구,강서구청,"부산-88확진자주요동선, 3.1. 자택, 택시, 전철, 08:24 비엔씨제과부산역점, 08:46~18:00직장, 전철, 버스, 19:00자택"
81,2020/03/08 13:59:58,부산광역시 강서구,강서구청,"부산-88확진자주요동선, 2.29. 자택, 택시, 전철, 09:00~18:00직장, 18:05~18:50루이팡(동구), 전철, 버스, 19:55자택"
82,2020/03/08 13:59:44,부산광역시 강서구,강서구청,"부산-88확진자주요동선, 2.28. 자택, 택시, 전철, 09:00직장, 10:00스토리웨이편의점(동구),10:30~18:00직장, 전철, 버스, 자택"
83,2020/03/08 13:44:57,경상북도 안동시,안동시청,"금일 현재 확진자 2명 추가발생. 이동동선 파악 중, 파악 즉시 재난문자발송 및 홈페이지, SNS 게시하겠으며, 확진자 방문장소 방역예정입니다."
84,2020/03/08 13:41:53,전라남도 보성군,보성군," 현재 확진자 없음, 외출 자제, 모임 연기 등 타인과의 만남 자제, 발열, 기침 증상 발현 시 보건소(061-850-5695)로 즉시 연락바랍니다."
85,2020/03/08 13:40:53,서울특별시 관악구,관악구청," 코로나19, 우리구 6번째 확진자 발생(미성동), 현재 역학조사 진행중이며 자세한 내용은 추후 홈페이지 공지 예정, 감염병 예방수칙을 준수 바랍니다."
86,2020/03/08 13:33:57,강원도 평창군,평창군청,"확진자 평창군 경유로, 현재 경유지 소독 및 역학조사중에 있으며, 증상이 의심될 경우 전화 1339 또는 보건의료원에서 상담 받으시기 바랍니다."
87,2020/03/08 13:28:26,충청북도 제천시,제천시청,"제천시 코로나19 확진자없음.코로나19 생활치료센터는 철저한 방역과 격리, 진출입통제, 사용물품도 완벽히 폐기물 처리되므로 시민분들은 안심하셔도 됩니다"
88,2020/03/08 13:28:17,전라남도 함평군,함평군청," 코로나19 예방을 위해 외출자재 등 사회적 거리두기(일정거리) 발열, 기침 시 1339로 상담바랍니다. 함평군 현재 확진자 없음을 알려드립니다."
89,2020/03/08 13:19:00,충청남도 공주시,공주시청," 코로나19 예방을 위한 행동수칙(손 자주 씻기, 마스크 착용, 기침할 때 입과 코 가리기, 인근 발생지역 방문자제 등)을 준수하여 주시기 바랍니다."
90,2020/03/08 13:12:45,충청북도 옥천군,옥천군청," 옥천군 현재 확진자 없음. 휴대폰 및 컴퓨터 마우스 등 소독 철저, 손 씻기, 기침예절지키기, 가정 환기 및 개인 위생 철저히 지켜주시기 바랍니다."
91,2020/03/08 13:12:04,강원도 동해시,동해시청,"3.8. 강릉시 코로나19 확진자 1명 발생, 다중밀집시설 이용 자제, 의심증상 시 1339, 보건소(033-530-2402) 상담 바랍니다."
92,2020/03/08 13:10:22,부산광역시 동래구,동래구청,동래구확진자(부산-89번)동선 3월 7일(토) 자택 ⇒ 보건소 구급차 ⇒ 16:00 부산의료원 이송
93,2020/03/08 13:10:11,부산광역시 동래구,동래구청,동래구확진자(부산-89번)동선 3월6일(금) 자택 ⇒ 도보 ⇒ 11:10~11:30 동래구보건소 선별진료소 ⇒ 도보 ⇒ 11:45 자택
94,2020/03/08 13:09:55,부산광역시 동래구,동래구청,"동래구확진자(부산-89번)동선 3월 4일(수) [증상발현, 오한, 근육통] 자택, 외출하지 않음, 3월 5일(목) 자택 , 외출하지 않음"
95,2020/03/08 13:09:52,강원도 강릉시,강릉시청,(추가확진자 관련 정정) 3.6(금) 19:30에 실시한 검사는 강릉동인병원 외부 선별진료소에서 검사실시하였음을 정정하여 알려드립니다.
96,2020/03/08 13:09:30,부산광역시 동래구,동래구청,"동래구 추가 확진자(부산-89번)동선 3월 3일(화) 자택 , 외출하지 않음 (자가격리 2.23 ~ 3.9)"
97,2020/03/08 13:03:00,전라남도 광양시,광양시청," 오늘 오후2시 군,관,경,소방 합동방역을 중마동,광양읍 유동인구 밀집지역 도로 중심으로 실시합니다. 시민 여러분 감염병 예방에 유의해주시기 바랍니다."
98,2020/03/08 13:00:37,서울특별시 동대문구,동대문구청,"5번 확진자 발생(휘경동, 27세 남, 2번 확진자 접촉자). 금일 입원조치 및 활동 동선 사업장 일시폐쇄 후 소독예정, 구 홈페이지 참조"
99,2020/03/08 12:42:54,서울특별시 관악구,관악구청," 코로나19, 5번째 확진자(보라매동) 동선 공개, 자세한 사항은 관악구 홈페이지 및 블로그 확인, 증상발생시 1339 상담 후 선별진료소 방문바랍니다"
100,2020/03/08 12:19:31,경기도 안산시,안산시,"안산 3번 확진자(여/25세)발생 상록구 삼태기3길(이동) 방역완료 향후 동선확인 후 SNS,홈페이지 및 재난문자로 공개예정.031-481-2162"
101,2020/03/08 12:06:30,경상남도 거창군,거창군청, 3.4.북부농협하성지점(13:10~20) 3.5.웅양면 임시선별진료소(15:32) 3.6.북부농협하성지점(13:10~20) 3.7.양성및마산의료원
102,2020/03/08 12:04:48,경상남도 거창군,거창군청, 2.25. 북부농협하성지점(13:10~13:30) 2.26. 하성보건진료소(9:00) 2.27. 북부농협하성지점(13:10~13:20)
103,2020/03/08 12:04:17,경상남도 거창군,거창군청,"(거창-19/남/63년생) 2.21. 마을회관,도보(12:00~13:00) 2.22.~23.자택 2.24. 북부농협하성지점,자차(13:10~13:20)"
104,2020/03/08 12:01:38,강원도 강릉시,강릉시청,"여행객 확진1명 발생. 3.6자전거이동(평창→강릉:도착즉시 동인병원검사)/3.7사천면 식당이용후 숙소머뭄/3.8양성판정,세부사항은 홈페이지 참조바랍니다"
105,2020/03/08 11:59:49,경상북도 김천시,김천시청," 코로나19, 21번째 확진자(73세,여) 발생. 대구시 거주, 감염경로불분명, 역학조사중, 김천제일병원 중환자실 격리, 상세정보는 추후 공지."
106,2020/03/08 11:47:51,충청남도 천안시,천안시청," 코로나19 추가확진자 1명 발생(총91명), 50대(여1), 개인위생관리 철저, 이동경로는 역학조사 중. 시 홈페이지, SNS 게시 예정."
107,2020/03/08 11:30:47,경상남도 거창군,거창군청," 3.4. 웅양면 임시 선별진료소(16:00) 3.6. 양성판정(11:23), 마산의료원 입원(16:00)"
108,2020/03/08 11:29:23,경상남도 거창군,거창군청,"(거창군-18/여/47년생) 2.27. 하성보건진료소, 도보(10:00) 2.28.~3.2. 자택 3.3. 하성보건진료소, 도보(10:43~10:49)"
109,2020/03/08 11:28:41,경상남도 거창군,거창군청,"(거창-17/여/69년생) 3.3.웅양반점,자차(12:00~13:00) 3.4.웅양임시선별진료소(14:40) 3.5.자가격리 3.6.양성 및 마산의료원"
110,2020/03/08 11:25:27,강원도 철원군,철원군청," 철원군은 현재 확진자 없으며, 외출 자제 등 사회적 거리두기 실천, 손씻기, 기침예절 준수. 발열, 기침 증상 시 보건소 450-5550 상담."
111,2020/03/08 11:24:23,경상북도 영양군,영양군청,"영양군 코로나19 추가확진자 없음. 외출 자제하시고, 개인위생 철저. 발열 및 호흡기 의심증상시 보건소로 문의바랍니다. 054-680-5120"
112,2020/03/08 11:16:02,경상북도 김천시,김천시청," 김천제일병원 응급실 폐렴 내원환자(상주시 거주) 검체의뢰로 일시 운영중단(선별진료소, 외래진료는 운영), 김천의료원 응급실 이용바랍니다."
113,2020/03/08 11:13:33,경상북도 영주시,영주시청," 코로나19 예방을 위해 매주 수요일, 일요일 일제 방역의 날 운영, 관내 공동주택 및 다중이용시설에서는 금일 중 일제소독을 당부드립니다."
114,2020/03/08 11:09:48,경상북도 포항시,포항시청, 포항시 38번확진자(3.6)의 동선중 3.2.14:50 마스크구입 GS25포항금호점은 CCTV 확인 결과 방문하지않았음을 알려드립니다.
115,2020/03/08 10:55:56,경상북도 영주시,영주시청," 약국판매 마스크(5부제) 구매 시 신분증 지참, 주중 미구매자 주말구매 가능(대리수령은 장애인의 경우 복지카드 지참 시 가능합니다.)"
116,2020/03/08 10:54:41,경상북도 영주시,영주시청," 3.9(월)부터 약국판매 마스크 5부제 시행, 1주 1인2매, 출생년도 끝자리 판매요일 월(1,6),화(2,7),수(3,8),목(4,9),금(5,0)"
117,2020/03/08 10:47:44,경상북도 의성군,의성군청,"전일(3.7.) 확진자 추가발생 없음. 코로나 19 확산대비 외출자제, 마스크 쓰기, 손씻기 등 개인위생에 철저를 기하여 주시기 바랍니다."
118,2020/03/08 10:46:09,전라남도 순천시,순천시청,군관경 합동방역을 실시합니다. 오늘 신대지역을 시작으로 추후 조례연향 등 인구밀집지역으로 확대합니다. 시민들께서는 놀라지 마시고 긴급방역에 협조바랍니다
119,2020/03/08 10:35:43,경상북도 안동시,안동시청,"금일 현재 확진자 추가발생없음. 코로나19 확산방지를 위해 예배, 법회, 미사 등 종교행사 참석자제. 사회적거리두기 등 개인위생수칙 준수바랍니다."
120,2020/03/08 10:35:33,경상북도 예천군,예천군청,예천6번 확진자 이동선 방역은 이미 완료하고 밀접하게 접촉한 27명에 대한 검사결과는 모두 음성입니다.
121,2020/03/08 10:30:15,경상북도 전체,경상북도," 외출 자제 등 사회적 거리두기 실천, 손씻기, 기침예절 준수, 눈·코·입 만지지 않기, 발열·기침 증상 시 보건소 또는 1339콜센터로 상담바랍니다."
122,2020/03/08 10:24:06,충청북도 괴산군,괴산군청, 3월8일 괴산군 10번 확진자(윤00) 발생. 동선정보는 조사중으로 괴산군 홈페이지에 게시 예정입니다.
123,2020/03/08 10:22:52,강원도 인제군,인제군청," 8일 현재 인제군 확진자 없습니다. 다중이용시설 이용, 종교집회 등을 자제해 주시고, 손씻기 등 개인위생관리를 철저히 해주시기 바랍니다."
124,2020/03/08 10:22:36,경기도 고양시,고양시청,"코로나19 확진자 2명 발생(행신동 거주,가족간 감염 추정),자택 및 공용공간 소독완료, 확진자 동선은 [홈페이지][카카오톡 고양시 채널]참조바랍니다."
125,2020/03/08 10:17:10,전라남도 나주시,나주시청," 현재까지 추가확진자 없음. 코로나19 확산방지를 위해 사회적 거리두기 실천, 기침예절 준수. 다중이용시설 이용과 외출을 자제하여주시기 바랍니다."
126,2020/03/08 10:11:53,서울특별시 강남구,강남구청, 실내 집단감염 위험. 주일 종교활동 자제 요망. 다중시설 이용시 마스크 필수. 상세내용 홈피(gangnam.go.kr) 문자서비스를 신청[강남구청]
127,2020/03/08 10:11:44,전라남도 곡성군,곡성군청, 경기도 성남시 분당재생병원 확진환자 발생관련 2.23-3.3 사이 분당재생병원 방문 또는 입원치료 하신분은 의료원(360-7563)으로 신고바랍니다.
128,2020/03/08 10:11:05,충청북도 보은군,보은군청," 보은군 현재 확진자 없음. 30초 손씻기 등 개인위생철저, 인접 발생지역 방문자제, 외출자제 등 사회적 거리두기 실천에 협조하여 주시기 바랍니다."
129,2020/03/08 09:45:06,경기도 성남시,성남시청," 3.8(일) 확진자 1명 추가 발생(57년생, 남, 중앙동 거주) 분당제생병원(2.4~2.29) 입원력 있음. 상세내용 추후 홈페이지 공개예정입니다."
130,2020/03/08 09:43:41,경상남도 창녕군,창녕군청,"코로나19 확산방지를 위해 예배, 법회, 미사 등 종교행사 참석 자제. 사회적 거리두기 등 개인위생 예방수칙을 준수바랍니다."
131,2020/03/08 09:41:01,전라북도 장수군,장수군청,"코로나19예방위해 종교집회, 외출자제 등 사회적 거리두기 실천,기침예절 준수. 발열등 증상시 1339, 보건의료원(063-350-2662)상담바랍니다."
